token
ifdef
ifndef
endif
?
/
<
>
*
char
[
float
(
'
\
#
@
"$"
]
short
unsigned
signed
double
wchar_t
long
void
)
int
!
""""
{
}
-
bool
while
switch
mutable
:
struct
include
;
define
 
do
dynamic_cast
.
namespace
template
|
,
=
&
+
~
^
volatile
token
static
static_cast
true
typedef
public
extern
case
try
protected
export
break
private
false
explicit
throw
operator
enum
auto
this
new
else
catch
register
delete
goto
asm
inline
default
virtual
sizeof
if
continue
using
const_cast
typeid
friend
const
union
return
for
class
typename
reinterpret_cast
	
